Name,Email,Phone,Age,Income Range,Employment Status,Amount Owed,Type of Debt,Delinquency Status,Transcripts,Sentiment Labels,Payment History,Financial Hardship Indicator,Communication Preference,Formality Level
Steven Schultz,stevenschultz@example.com,+1-503-814-6678x87642,43,50000-75000,Self-Employed,97524.22,Student Loan,Defaulted,Recent significant build career.; Establish job bed marriage for receive answer.; Interesting region drug part.; Choice seek customer where enter quality than room.,Negative; Positive; Neutral; Neutral,"2595.9, 2021-11-09, Full Payment; 2233.67, 2023-05-12, Full Payment; 787.12, 2022-10-25, Full Payment; 1870.35, 2024-04-02, Partial Payment; 1255.61, 2022-09-09, Partial Payment; 4628.99, 2021-06-14, Partial Payment; 454.73, 2023-01-05, Full Payment","Foreclosure, Divorce, Bankruptcy, Medical Emergency, Unemployment",Text,Casual
David Miller,davidmiller@example.com,+1-694-586-5351x380,70,0-25000,Unemployed,199121.09,Auto Loan,Defaulted,Republican almost some.; Figure doctor last this guy court.; Popular good order.; Group last size but instead too yourself.; Trial away natural serious.; Network speech pay charge everyone.; Source camera world challenge either sit will.,Positive; Neutral; Positive; Neutral; Neutral; Negative; Neutral,"1895.12, 2022-03-31, Partial Payment; 3131.92, 2022-02-15, Full Payment; 2223.58, 2024-03-07, Partial Payment; 368.89, 2023-07-27, Partial Payment; 4135.33, 2023-07-27, Partial Payment; 4674.75, 2023-02-02, Full Payment; 4120.56, 2023-06-15, Partial Payment; 4178.16, 2023-05-26, Partial Payment; 4587.34, 2021-10-19, Partial Payment; 634.56, 2024-01-29, Full Payment; 423.04, 2022-02-20, Partial Payment; 907.69, 2023-10-21, Full Payment; 1968.28, 2024-01-01, Minimum Payment",Unemployment,Email,Casual
Cynthia Landers,cynthialanders@example.com,(442)381-2033,49,150000+,Retired,144128.96,Student Loan,Defaulted,Sort collection hundred require ready and option.; Director best medical western scientist man them.; Man daughter her can business all travel stand.; Investment chance write man side how bad.; Hope so entire staff my they.,Negative; Negative; Positive; Positive; Positive,"3107.86, 2022-10-09, Full Payment; 2633.04, 2021-11-10, Partial Payment; 2468.34, 2023-06-05, Partial Payment; 2519.27, 2022-03-17, Partial Payment; 2415.63, 2022-08-22, Partial Payment; 3637.31, 2023-08-13, Partial Payment; 4963.08, 2022-05-30, Minimum Payment; 152.84, 2021-07-29, Minimum Payment; 300.9, 2023-11-09, Full Payment; 1572.48, 2023-10-27, Full Payment; 1015.9, 2023-11-21, Full Payment; 1995.01, 2023-11-17, Full Payment; 1216.2, 2021-11-11, Partial Payment; 4740.51, 2022-02-18, Partial Payment; 4045.07, 2023-08-22, Minimum Payment; 1868.83, 2023-04-25, Minimum Payment",,Mail,Formal
Corey Scott,coreyscott@example.com,701.300.1065x12694,76,75000-100000,Unemployed,37296.34,Student Loan,Current,Radio team have she consumer product whether.; Assume successful country around which.; Check dog alone picture.; Stage nothing happen report leader security theory fall.; President cost affect recognize.; Seek own compare through.; On record pretty.; Such sit control attention whether woman.,Negative; Negative; Neutral; Negative; Negative; Negative; Positive; Negative,"4113.28, 2023-11-11, Minimum Payment; 2221.92, 2023-06-10, Minimum Payment; 4340.36, 2023-02-28, Minimum Payment; 1764.54, 2023-10-26, Partial Payment; 2174.1, 2022-09-28, Minimum Payment; 1151.11, 2021-12-29, Full Payment; 2031.25, 2021-06-01, Partial Payment; 2566.42, 2023-07-22, Full Payment; 4576.21, 2023-06-08, Minimum Payment; 1060.92, 2023-03-31, Full Payment; 2684.99, 2023-07-17, Full Payment; 984.86, 2023-01-01, Full Payment; 3863.42, 2023-12-13, Full Payment; 4467.14, 2022-09-09, Partial Payment; 4729.31, 2023-07-16, Partial Payment; 2909.99, 2022-01-23, Partial Payment; 1518.7, 2023-11-29, Full Payment","Divorce, Medical Emergency",Email,Casual
Mary Nerad,marynerad@example.com,+1-417-992-6757x79824,60,0-25000,Self-Employed,83439.32,Credit Card,Defaulted,Want anything order turn.; Tax key social four thought west management event.; Hundred enough maybe seat brother how.; Third whatever source near particular.; South front star deep kitchen.; Adult like say.; Analysis plan east a PM behind since nation.; Position meeting meeting from television item.; Source together man knowledge return model.,Neutral; Positive; Neutral; Neutral; Neutral; Neutral; Positive; Negative; Neutral,"531.76, 2022-11-04, Minimum Payment; 2226.12, 2023-07-28, Partial Payment; 3810.21, 2023-04-22, Minimum Payment; 1868.77, 2023-01-01, Full Payment; 3638.09, 2023-09-04, Minimum Payment; 597.46, 2024-01-13, Partial Payment; 4360.56, 2021-08-20, Minimum Payment; 3232.54, 2022-11-14, Partial Payment; 4862.74, 2024-01-07, Partial Payment; 4248.52, 2023-06-11, Minimum Payment; 423.51, 2022-05-11, Minimum Payment; 153.72, 2023-03-14, Full Payment; 707.65, 2024-02-29, Minimum Payment; 4351.06, 2023-09-02, Minimum Payment; 226.82, 2023-02-07, Minimum Payment; 2302.21, 2021-12-11, Full Payment","Foreclosure, Medical Emergency",Mail,Casual
Dorothy Silcox,dorothysilcox@example.com,245-645-0111,64,25000-50000,Unemployed,75793.33,Medical Bills,Defaulted,Mind time decide full allow safe.; Decide rise check country opportunity enough talk.; Since choice get account goal grow.,Negative; Neutral; Positive,"809.29, 2022-02-04, Full Payment; 432.29, 2021-11-08, Partial Payment; 1970.06, 2023-03-01, Partial Payment; 453.82, 2021-12-31, Full Payment; 2516.09, 2023-07-02, Full Payment; 3843.49, 2022-01-18, Minimum Payment; 4504.13, 2023-12-09, Partial Payment; 4924.24, 2024-03-07, Minimum Payment",,Mail,Formal
Jimmie Becker,jimmiebecker@example.com,616.640.0426x66406,58,0-25000,Employed,75132.32,Personal Loan,Defaulted,Let above include buy policy south today.; Current road break century in event.; School sea scene process property dog state do.; Often situation network piece ability represent.,Neutral; Negative; Neutral; Neutral,"2216.34, 2023-12-04, Minimum Payment; 4028.9, 2023-01-27, Full Payment; 1935.39, 2023-04-01, Full Payment; 3383.22, 2023-08-05, Partial Payment","Bankruptcy, Foreclosure",Email,Casual
Kimberly Oconner,kimberlyoconner@example.com,001-428-347-4060x8816,33,0-25000,Self-Employed,162692.74,Student Loan,Defaulted,Let strategy himself him own exist.; Though care you ten physical record glass.; Center think remain that.; Its food home hit catch quality some once.,Positive; Neutral; Neutral; Negative,"2983.76, 2021-09-11, Partial Payment; 4211.83, 2022-08-02, Partial Payment; 2544.15, 2023-03-26, Partial Payment; 3771.42, 2023-08-22, Minimum Payment; 113.57, 2021-06-23, Minimum Payment; 2426.08, 2023-11-23, Partial Payment; 3330.49, 2021-08-13, Full Payment; 4742.96, 2021-05-20, Minimum Payment; 2394.08, 2022-02-18, Partial Payment; 4552.98, 2023-12-19, Partial Payment; 4479.37, 2022-01-13, Full Payment","Medical Emergency, Foreclosure, Unemployment, Bankruptcy, Divorce",Email,Casual
Steven Bledsoe,stevenbledsoe@example.com,690-960-4708x9924,74,50000-75000,Self-Employed,74591.45,Medical Bills,In Arrears,Happy partner address star.; You sea get truth west arrive out.; Method listen middle.; But describe about owner agreement blue.,Neutral; Neutral; Neutral; Neutral,"3987.75, 2023-03-21, Minimum Payment",,Mail,Casual
Phyllis Nishimura,phyllisnishimura@example.com,-9532,57,50000-75000,Retired,90221.3,Mortgage,Defaulted,Instead table town network man project out bag.; Ask seat it data let simply.; Face hope several on economy get consider.; Interesting different skill lawyer Republican two.; Young product wrong bed.; Program arm option heart wish.; Goal and win its.,Neutral; Positive; Negative; Positive; Negative; Positive; Negative,"1003.12, 2023-09-26, Partial Payment; 2164.44, 2021-10-01, Full Payment; 1057.8, 2021-09-02, Minimum Payment; 130.57, 2022-02-24, Partial Payment; 887.1, 2022-05-14, Full Payment; 364.41, 2024-02-26, Minimum Payment; 280.44, 2023-12-16, Partial Payment; 3051.42, 2024-05-05, Full Payment","Foreclosure, Divorce, Medical Emergency",Mail,Formal
Wendi Smith,wendismith@example.com,+1-805-548-0669x610,39,50000-75000,Employed,193415.4,Medical Bills,Defaulted,Visit participant lose voice degree.; List send long population feel blue.; Success out reach though occur manager claim.; Arrive stuff something agency.,Neutral; Neutral; Positive; Positive,"243.59, 2023-10-25, Minimum Payment","Bankruptcy, Medical Emergency, Unemployment, Divorce",Text,Formal
